Name,Category,Top Pick,Badge,My Take,Tags
Norms,Breakfast,TRUE,Top Pick,"A Detroit morning institution. No-frills, no-nonsense, exactly right.","Classic, Diner"
See You Tomorrow,Breakfast,TRUE,Top Pick,The spot that made Detroit brunch feel like it actually belongs. Creative without being annoying.,"Trendy, Creative"
Whistle Stop,Breakfast,TRUE,Top Pick,"Neighborhood feel, solid execution. The kind of place locals protect.","Local, Neighborhood"
Joe Louis Soul,Breakfast,FALSE,,Soul food in the morning hits different. This is the one.,"Soul Food, Hearty"
Hudson Café,Breakfast,FALSE,,"Downtown anchor for a proper sit-down morning. Good energy, reliable food.","Downtown, Sit-Down"
Dime Store,Breakfast,FALSE,,Beloved for good reason. The brunch line is earned.,"Brunch, Popular"
Brooklyn Street Local,Breakfast,FALSE,,Corktown's neighborhood diner. The vibe is right every single time.,"Corktown, Neighborhood"
Haus of Brunch,Breakfast,FALSE,,The name tells you everything. They take brunch seriously and it shows.,"Brunch, Elevated"
The Block,Breakfast,FALSE,,"A New Center staple. Great for groups, great for solo. Just great.","New Center, Versatile"
Bev Bagels,Breakfast,FALSE,Best Bagels,The bagel situation in Detroit starts and ends here. Get there early.,"Bagels, Morning"
Fred's,Breakfast,FALSE,,Old school Detroit energy. Unpretentious and completely dependable.,"Classic, Casual"
Baobao Fare,Lunch,TRUE,Top Pick,West African flavors done with care. The kind of spot that feels like a discovery.,"African, Unique"
Fred's — Chicken Caesar Wrap,Lunch,TRUE,Order This,"One item, no notes. The chicken Caesar wrap is the reason you go.","Wrap, Must-Order"
Taqueria El Rey,Lunch,TRUE,Top Pick,The tacos here are the real thing. Mexicantown authenticity.,"Mexican, Tacos, Authentic"
Ima,Lunch,TRUE,Top Pick,"Japanese comfort food. Udon, gyoza, and a warm room. Consistently underrated.","Japanese, Comfort, Underrated"
Johnny Noodle King,Lunch,TRUE,Top Pick,"Ramen that Detroit has needed. Corktown spot, proper broth, worth every visit.","Ramen, Corktown"
